No,house age,distance to the nearest MRT station,number of convenience stores,house price of unit area
180,3.8,383.8624,5,55
181,16.4,389.8219,6,40.6
182,33.4,186.9686,6,42.2
183,13.6,492.2313,5,40.1
184,26.4,335.5273,6,38.1
185,1.1,193.5845,6,54.4
186,21.7,512.5487,4,44.2
187,11,1712.632,2,28.8
188,11.9,1360.139,1,28.4
189,9.1,1402.016,0,43.2
190,15.2,3771.895,0,29.3
191,12.7,170.1289,1,37.3
192,29.1,506.1144,4,40.3
193,8.9,3078.176,0,22
194,13.9,4079.418,0,27.3
195,7.1,379.5575,10,49.8
196,4.1,56.47425,7,62.1
197,18.4,2674.961,3,25.7
198,13,492.2313,5,40.5
199,12,1360.139,1,28.9
200,16.8,4066.587,0,18.2
201,27.5,394.0173,7,41
202,12,1360.139,1,25.3
203,5.7,90.45606,9,53.5
204,0,292.9978,6,71
205,21.2,2185.128,3,27.7
206,0,185.4296,0,55.2
207,16.1,289.3248,5,51.7
208,15,383.2805,7,34.4
209,3.8,383.8624,5,60.7
210,15.6,289.3248,5,46.1
211,39.6,480.6977,4,38.8
212,18,373.3937,8,39.5
213,39.2,424.7132,7,30
214,13,732.8528,0,39
215,9.1,1402.016,0,42.3
216,14.7,1717.193,2,23
217,25.9,4519.69,0,22.1
218,10.4,276.449,5,33.6
219,16.2,4074.736,0,14.7
220,19.5,306.5947,9,42.2
221,30.6,431.1114,10,48.5
222,4,2147.376,3,28.4
223,0,292.9978,6,63.3
224,40.9,122.3619,8,67.7
225,14.1,2615.465,0,21.8
226,9.9,2102.427,3,23.1
227,33.6,371.2495,8,41.9
228,7.1,451.2438,5,57.1
229,16.3,3529.564,0,29.3
230,21.7,1157.988,0,23.8
231,13.2,750.0704,2,37.8
232,14.2,1801.544,1,24.8
233,8,2216.612,4,23.9
234,35.8,170.7311,7,48.5
235,8.1,104.8101,5,51.6
236,13.2,1164.838,4,34.3
237,2,2077.39,3,33.4
238,14.8,393.2606,6,7.6
239,27.3,337.6016,6,36.5
240,16.4,289.3248,5,53
241,32.3,109.9455,10,48
242,8.5,104.8101,5,56.8
243,8.9,1406.43,0,48
244,21.7,463.9623,9,42
245,13.3,336.0532,5,42.4
246,0,208.3905,6,44
247,32.5,424.5442,8,36.3
248,18.9,1009.235,0,20.8
249,31,1156.412,0,19
250,13,750.0704,2,37
251,36.1,519.4617,5,34.7
252,37.8,590.9292,1,39.7
253,13.2,150.9347,7,48.1
254,16.2,289.3248,5,55
255,13.5,4197.349,0,18.6
256,16.6,323.6912,6,51
257,38.3,642.6985,3,31.5
258,11.8,533.4762,4,40.3
259,34.9,567.0349,4,28.5
260,23,3947.945,0,25.3
261,29.3,1487.868,2,27
262,31.4,592.5006,2,34.1
263,3.2,489.8821,8,43.2
264,5.9,90.45606,9,56.3
265,17,1485.097,4,30.7
266,17.9,1783.18,3,22.1
267,37.3,587.8877,8,37.4
268,34.4,126.7286,8,48.2
269,6.3,90.45606,9,58.1
270,35.5,640.7391,3,40.8
271,33.9,157.6052,7,41.5
272,8,104.8101,5,51.8
273,15.2,461.1016,5,34.6
274,4.7,387.7721,9,44.8
275,29.6,535.527,8,37.5
276,17.8,1783.18,3,23.7
277,28.4,617.4424,3,34.6
278,16.5,323.655,6,49.3
279,6.2,1939.749,1,31.3
280,9,1402.016,0,38.5
281,17.2,390.5684,5,40.1
282,30.1,718.2937,3,55.3
283,11.6,201.8939,8,55.9
284,6.2,90.45606,9,58
285,9.9,279.1726,7,57.4
286,13.7,1236.564,1,30.6
287,0,185.4296,0,37.9
288,0,185.4296,0,52.2
289,20,1626.083,3,29.4
290,38.5,216.8329,7,41
291,34.7,482.7581,5,41.1
292,12.8,1449.722,3,21.4
293,5.9,90.45606,9,52.7
294,30.7,1264.73,0,18.3
295,18.1,1783.18,3,20.9
296,17.5,995.7554,0,25.3
297,6.4,90.45606,9,62.2
298,16.1,815.9314,4,35.6
299,13.2,170.1289,1,29.3
300,33.3,196.6172,7,39.4
301,38.5,665.0636,3,34.2
302,10.4,2251.938,4,27.3
303,16.7,4082.015,0,16.7
304,15,1828.319,2,20.9
305,32.6,493.657,7,40.6
306,17.2,189.5181,8,47.1
307,3.6,383.8624,5,58.8
308,18,6306.153,1,15
309,17.4,6488.021,1,11.2
310,33.5,563.2854,8,46.6
311,16.5,4082.015,0,12.8
312,13.9,289.3248,5,44.5
313,16.9,964.7496,4,37.7
314,21.3,537.7971,4,42.2
315,19,1009.235,0,22.3
316,0,185.4296,0,55.3
317,34.6,3085.17,0,41.2
318,30.4,464.223,6,36.2
319,4.6,259.6607,6,53.7
320,11,1931.207,2,21.3
321,13.1,561.9845,5,45.9
322,18.2,350.8515,1,43.1
323,3.1,383.8624,5,56.2
324,21.7,1055.067,0,23.1
325,0,292.9978,6,69.7
326,4.1,312.8963,5,51.7
327,20.2,2185.128,3,22.8
328,20.4,2469.645,4,23.8
329,3.9,49.66105,8,56.8
330,16,4066.587,0,11.6
331,3.5,56.47425,7,53.5
332,12.5,1144.436,4,34.1
333,13.8,4082.015,0,15.6
334,17.6,1805.665,2,31.1
335,0,185.4296,0,45.5
336,12.2,1360.139,1,26.6
337,13.6,4197.349,0,19.2
338,39.8,617.7134,2,39.6
339,13.6,4082.015,0,15.9
340,41.3,401.8807,4,35.1
341,4.5,2275.877,3,29.3
342,24.2,4605.749,0,13.4
343,10.8,252.5822,1,117.5
344,15.6,752.7669,2,37.5
345,6.4,90.45606,9,59.5
346,35.9,640.7391,3,61.5
347,16.4,1643.499,2,24.7
348,13.1,1144.436,4,36.7
349,3.7,577.9615,6,41.6
350,5.4,390.5684,5,49.5
351,7.5,639.6198,5,40.8
352,32.4,265.0609,8,40.2
353,15.5,815.9314,4,37.4
354,1.7,329.9747,5,50.4
355,32,84.87882,10,37.9
356,0,292.9978,6,70.1
357,16.9,368.1363,8,42.3
358,34.5,623.4731,7,40.3
359,1.1,193.5845,6,45.1
360,12.8,732.8528,0,40.6
361,12.5,561.9845,5,42
362,35.3,614.1394,7,33.1
363,17.1,967.4,4,40
364,38.6,804.6897,4,62.9
365,32.9,87.30222,10,47.1
366,17,4082.015,0,18.8
367,10.5,279.1726,7,51.6
368,5.3,259.6607,6,63.2
369,1.8,1455.798,1,27
370,8.5,104.8101,5,55.5
371,0,292.9978,6,73.6
372,26.9,4449.27,0,15.5
373,18,1414.837,1,26.5
374,24,4527.687,0,14.4
375,41.3,124.9912,6,60.7
376,18.2,2179.59,3,21.8
377,37.7,490.3446,0,37
378,12.9,187.4823,1,33.1
379,15.9,289.3248,5,42.1
380,16.2,289.3248,5,46.2
381,13.9,4573.779,0,19.2
382,2,1455.798,1,25.6
383,0,274.0144,1,45.4
384,31.7,1160.632,0,13.7
385,33.2,121.7262,10,46.1
386,14.4,169.9803,1,50.2
387,4,2147.376,3,33.4
388,27.1,4412.765,1,17.4
389,13.2,492.2313,5,42.3
390,14.6,339.2289,1,26.5
391,36.6,488.8193,8,38.1
392,3.1,577.9615,6,47.7
393,41.4,281.205,8,63.3
394,1,193.5845,6,50.7
395,20.6,737.9161,2,46.4
396,40.9,167.5989,5,41
397,31.7,5512.038,1,18.8
398,8,132.5469,9,47.3
399,11.9,3171.329,0,46.6
400,3.4,56.47425,7,54.4
